word|s    nlet|f    frq|f Lev|f bi|f
copiar  6   2.887951    1.5 44373.99572
copos   5   1.575836    1.05    43879.25013
coraza  6   1.452622    1.85    63049.57846
cordón  6   4.420554    1.85    52895.94614
corral  6   4.293017    1.65    58633.87308
correr  6   61.708341   1.4 65822.46144
coyote  6   3.298663    1.85    38886.30239
creer   5   62.68   5.326126    40772.20349
cruce   5   9.64    1.95    7333.809531
cuadra  6   8.75    1.9 22769.23015
cuarto  6   175.116629  1.65    24385.31546
cuarzo  6   0.717665    1.9 15600.66935
cuello  6   63.649494   1.75    71994.39951
cuenca  6   0.860333    1.75    89205.17512
cuenco  6   1.361833    1.8 88608.0955
cuenta  6   365.36  1.75    98224.06309
cuento  6   47.469617   1.5 97994.25904
cuerda  6   18.21   1.75    80998.39809
cuerno  6   6.43    1.75    78562.78304
cuero   5   21.43   1.3 79164.35888
cuerpo  6   218.59802   1.75    78657.05431
cuesta  6   40.89   1.75    84639.09947
cueva   5   10  1.75    72739.00238
cuidar  6   42.136851   1.55    36705.85377
cúmulo  6   0.626876    1.85    3565.649271
cursi   5   3.408906    1.6 13353.34826
cutis   5   0.981385    1.8 14516.56578
danés   5   1.889273    1.9 12995.35468
deber   5   43.451128   1.4 94021.81347
dejar   5   266.724776  1.4 75863.71645
deje    4   21.25   3.80358 64605.47732
desliz  6   1.100275    1.85    70285.39907
desván  6   2.371319    1.85    68931.05798
devoto  6   2.542089    1.8 69061.12788
diablo  6   15.89   2.35    19923.57347
dicha   5   45.36   1.75    24038.36573
dictar  6   1.160801    1.55    36888.41303
diente  6   6.96    1.95    61296.64367
dinero  6   206.96  1.95    54614.04354
doctor  6   236.37751   1.6 15754.18256
dormir  6   179.132956  1.75    30220.9289
dorso   5   0.903566    1.75    24730.57043
dureza  6   1.716342    1.9 10850.32253
educar  6   2.667464    1.6 16805.26299
efecto  6   42.863162   1.6 8060.408081
elevar  6   2.250267    1.45    42725.53084
elogio  6   2.00384 1.65    25409.87878
eludir  6   1.817939    1.75    27452.54655
emisor  6   1.184579    2.05    8404.476466
emitir  6   3.24246 1.7 10003.88695
empeño  6   3.471594    1.5 9378.01652
encaje  6   3.041428    1.5 32371.60345
encías  6   1.217003    1.85    38472.78291
enero   5   25  1.85    37476.1738
engaño  6   12.32   2.3 30763.78179
enredo  6   1.590967    1.7 40878.82663
entrar  6   235.532309  1.5 54069.95274
enzima  6   1.245105    1.9 27339.81083
esbozo  6   0.568511    1.8 60526.82738
espiar  6   4.251946    1.55    77542.71403
espuma  6   12.86   2   64338.24865
estado  6   416.61  1.8 112265.4592
evitar  6   60.945282   1.45    21945.95018
excusa  6   14.29   2.4 7595.045993
exigir  6   2.20055 1.65    7012.429875
éxito   5   103.04  2   6229.944185
fatiga  6   2.578837    1.75    10640.32355
fauces  6   0.629037    1.8 12856.95582
fiebre  6   26.43   2.3 32926.58897
fijar   5   3.986064    1.25    18385.07586
fluir   5   6.79    0.209032    5802.313424
flujo   5   11.96   1.85    1587.687966
forzar  6   4.779386    1.55    31592.94154
fregar  6   2.053558    1.5 31105.95645
fuerza  6   132.52151   1.7 74397.20306
fulano  6   2.442653    1.8 19775.61147
fulgor  6   0.510147    2   13053.56773
fundar  6   1.208357    1.65    32984.41522
furor   5   0.96193 1.9 23970.23521
futuro  6   133.144062  1.8 16579.77995
gallo   5   8.04    1.6 14987.02297
galope  6   1.428844    1.6 16824.16417
ganar   5   111.123434  1.3 23065.26244
ganas   5   64.11   3.451454    19638.3386
gemido  6   0.674432    1.75    19129.15562
gitana  6   2.481563    1.9 22486.07038
gitano  6   8.57    1.95    21106.25223
gradas  6   1.571512    1.1 28737.44724
grieta  6   4.414069    1.7 20176.83351
grito   5   33.93   1.7 13351.59952
grosor  6   1.139184    1.9 16258.60353
grueso  6   3.467271    1.9 17065.74901
grupo   5   125.416199  1.7 6893.831439
gruta   5   4.82    0.09755 13923.35769
guiño   5   1.156477    1.55    12231.58452
hachís  6   1.835232    1.9 37409.99271
hambre  6   53.57   2.1 47382.1813
hazaña  6   2.308632    1.85    24995.45561
hebreo  6   2.72799 1.9 20082.58599
hedor   5   4.82    0.391124    22475.59936
helada  6   10.18   1.75    29950.07753
helado  6   13.39   1.8 34314.91098
herida  6   22.86   1.9 38551.84467
hiedra  6   1.428844    1.7 39902.10013
hielo   5   30.89   1.85    27496.36947
hierba  6   23.57   1.95    35211.26747
hierro  6   20.18   1.9 40897.20469
higos   5   1.178094    1.65    20882.48781
hijo    4   224.46  1.5 9945.139902
hocico  6   2.911729    1.95    20686.16339
hogar   5   37.68   3.480913    20853.96724
hombro  6   28.93   2   33247.28999
honor   5   42.32   4.005942    39465.6781
huella  6   20  1.9 65056.782
huerto  6   2.777708    1.6 79001.77105
hueso   5   15.18   1.7 68997.35677
huevo   5   20.36   1.75    64729.09672
huida   5   3.080337    1.6 18704.74561
humano  6   82.341196   1.6 14903.81714
humor   5   45.333917   1.8 22518.38686
hundir  6   3.635879    1.7 15301.71453
hurgar  6   0.754412    1.55    19826.36472
imagen  6   163.93  2.9 12157.56141
imitar  6   3.462947    1.55    24588.06026
índole  6   0.726311    2.3 11144.22121
infame  6   3.681273    1.85    12821.12664
ingles  6   4.338412    1.6 17048.05186
inglés  6   59.181383   2.2 7486.596525
jazmín  6   1.580159    2.5 2772.651509
jinete  6   6.96    2.5 16092.33012
joven   5   201.07  2.65    12510.63079
júbilo  6   1.534764    2.05    6083.257495
juego   5   160.18  1.8 70605.37491
jueves  6   33.04   2.95    74521.8324
jugar   5   68.57   4.723381    18267.11518
jugo    4   9.64    1.8 7369.898036
julio   5   42.5    1.9 8935.552457
juncos  6   0.549057    1.85    16980.80312
junio   5   29.46   1.85    10906.98553
jurar   5   3.39    0.562288    28979.9119
labio   5   8.04    1.8 42841.07897
ladrar  6   1.718504    1.45    56048.55126
ladrón  6   12.68   2   39442.61095
lances  6   0.821423    1.5 49725.00152
lapso   5   7.14    0.121313    31603.22417
larvas  6   1.374803    1.75    55583.34671
latir   5   3.04    0.319953    38646.62601
lavabo  6   11.79   2.3 33657.49135
leche   5   53.223903   1.45    23867.61569
lector  6   2.697727    1.7 23231.76285
lengua  6   43.952629   1.8 30437.7565
liar    4   0.734958    1.1 6288.319314
liebre  6   3.026296    1.85    33614.5677
lienzo  6   1.80497 1.9 41841.34846
linaje  6   3.923377    1.95    11369.08585
llama   5   112.68  5.838342    17632.49869
llamar  6   152.706905  1.35    29085.4282
llave   5   22.86   1.9 13367.97175
llegar  6   247.862304  1.25    28783.89234
llevar  6   145.361652  1.35    26675.42853
llorar  6   49.261617   1.45    28823.28832
lluvia  6   59.46   2.7 10770.21857
logro   5   10  1.9 27457.69991
lucha   5   51.591865   1   13468.73444
luchar  6   50.90014    1.3 24921.66394
lucro   5   1.389935    1.6 9352.444225
lumbre  6   0.810615    1.85    19285.58707
lunes   5   40.89   2.25    20630.52273
mancha  6   16.25   1.55    24704.01911
manojo  6   1.822263    1.75    24379.55255
maraña  6   5.18    1.9 44804.99183
marcha  6   64.135863   1.15    32610.61567
marido  6   136.79  1.8 45214.68103
mármol  6   3.491049    2.75    10566.49695
martes  6   29.64   1.9 46110.8236
mascar  6   3.743961    1.3 45843.04414
mechón  6   1.541249    1.9 32006.51073
medida  6   81.07   1.8 27012.39999
mella   5   0.838716    1   33203.57507
mentón  6   2.390774    1.8 43157.57989
merced  6   4.818296    1.85    40788.75964
mezcla  6   42.5    2.45    18576.00487
miedo   5   149.82  2   44392.17243
migas   5   2.040588    1   27058.89249
mimbre  6   6.07    2.15    30787.58128
minero  6   2.217843    1.65    55241.3277
miope   5   0.721988    1.95    17356.36208
mitad   5   86.25   1.95    30117.9375
mocos   5   2.289177    1   23686.44213
molino  6   8.57    1.9 18242.73407
montón  6   81.48951    1.55    36202.32565
morir   5   230.022288  1.7 30120.96607
mosca   5   10.71   1.85    26845.08478
motivo  6   78.93   1.9 9526.086661
movida  6   4.424877    1.8 14768.41632
mudo    4   11.25   1.5 16670.39363
muerto  6   362.202258  1.55    86396.70952
multas  6   4.241138    1.45    24495.82509
musgo   5   3.04    0.152409    19588.87588
muslo   5   7.5 1.85    16502.59637
naipes  6   2.31944 1.95    13863.47808
nalgas  6   4.269239    1.75    22160.63766
náusea  6   0.890596    2.55    3416.573969
navaja  6   13.39   2.3 7950.240106
negro   5   130.36  1.95    10818.95279
nevera  6   9.46    1.95    39074.36718
nieto   5   14.64   1.8 27786.36213
nieve   5   39.29   2.3 28192.10413
niña    4   157.951044  1.2 4923.920082
niño    4   272.401243  1.15    6568.733667
noche   5   405.71  1.85    48634.94238
noción  6   4.511343    1.75    49495.54102
nombre  6   272.5   2.2 65458.27652
novia   5   31.07   4.386271    42037.04171
nuca    4   17.68   1.8 10698.01985
nudo    4   9.64    1.55    11867.82369
obrero  6   4.347058    1.8 37721.87428
oferta  6   31.96   2.2 19840.36986
oídas   5   0.642007    1.65    14022.54228
oírse   5   1.011648    1.85    4384.789786
ojeada  6   3.000356    1.65    9032.244755
ojeras  6   0.743604    1.7 21885.19935
oleaje  6   0.797645    1.95    6521.58623
olfato  6   3.328926    1.9 7849.222364
olivo   5   0.763059    1.7 3215.915308
opción  6   25.18   2.2 9630.078713
opinar  6   2.176772    1.55    15489.43155
